danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.557,0.798,9,-5.843,0,0.0277,0.0158,2.67e-05,0.547,0.609,134.801,252267,2
0.547,0.294,7,-10.202,1,0.0482,0.0607,0.786,0.0933,0.11,105.027,246240,4
0.27,0.588,10,-7.938,1,0.0308,0.0588,0.0331,0.133,0.124,130.476,491156,2
0.621,0.472,4,-12.291,1,0.393,0.615,0.136,0.0946,0.267,120.003,200533,5
0.649,0.787,9,-6.942,1,0.0393,0.0513,0.577,0.122,0.501,127.993,322535,5
0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160627,5
0.924,0.8,2,-4.311,1,0.0578,0.11,0.71,0.0879,0.294,127.993,166705,5
0.627,0.971,7,-3.328,1,0.0604,0.000753,0.678,0.135,0.45,128.005,238166,5
0.629,0.686,2,-5.025,1,0.447,0.282,0.0,0.107,0.864,177.706,129907,1
0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,181263,1
0.597,0.96,11,-3.989,1,0.042,0.169,2.89e-05,0.105,0.937,163.017,149467,2
0.713,0.845,2,-5.21,0,0.0511,0.044,0.86,0.373,0.119,139.989,242625,5
0.825,0.898,2,-9.706,0,0.0547,0.00148,0.00177,0.0854,0.815,117.893,351440,4
0.69,0.834,10,-5.8,0,0.225,0.0162,0.0,0.0559,0.58,172.392,317507,1
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,2
0.739,0.953,11,-2.624,1,0.133,0.00801,0.0104,0.0623,0.516,127.987,311211,5
0.633,0.856,1,-4.934,0,0.0736,0.00375,0.0,0.136,0.825,128.013,210480,5
0.257,0.473,6,-9.873,1,0.0331,0.000872,0.367,0.32,0.452,173.75,320707,2
0.689,0.865,6,-5.211,1,0.0962,0.000209,1.26e-05,0.0978,0.589,105.001,172453,0
0.637,0.945,5,-3.54,1,0.135,0.0373,0.0,0.116,0.578,198.05,197053,3
0.867,0.73,9,-6.605,1,0.0496,0.45,0.0143,0.0817,0.917,132.57,346133,4
0.809,0.787,7,-5.318,1,0.282,0.206,0.0,0.286,0.692,95.024,202160,1
0.588,0.529,2,-7.838,1,0.0242,0.534,0.0683,0.126,0.591,95.971,237933,4
0.751,0.896,7,-3.999,1,0.0456,0.0222,0.000241,0.135,0.247,125.986,209551,3
0.684,0.761,4,-5.441,0,0.118,0.263,0.000878,0.322,0.416,77.001,228098,4
0.688,0.859,0,-4.447,1,0.0609,0.186,0.0,0.121,0.695,92.042,195813,3
0.509,0.779,8,-5.542,0,0.213,0.332,8.35e-06,0.129,0.562,143.942,187328,1
0.655,0.751,1,-5.804,0,0.0618,0.18,3.2e-05,0.152,0.525,121.984,186885,5
0.707,0.589,5,-8.347,0,0.288,0.108,0.0,0.102,0.641,148.154,150742,1
0.56,0.543,7,-8.433,1,0.0288,0.233,0.000179,0.335,0.661,85.119,314093,2
