danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre
0.503,0.527,2,-5.918,1,0.0492,0.0275,0.0,0.285,0.315,119.995,180000,3
0.818,0.576,0,-7.588,0,0.162,0.29,0.0,0.105,0.285,96.189,150187,1
0.619,0.737,5,-4.333,0,0.0435,0.00852,0.000103,0.46,0.385,124.941,211200,5
0.566,0.763,7,-6.146,0,0.0296,0.00119,0.0,0.324,0.577,134.973,239160,0
0.909,0.405,6,-8.133,0,0.14,0.0306,0.00698,0.105,0.455,154.984,238613,4
0.747,0.532,10,-5.474,0,0.0394,0.0549,2.78e-06,0.121,0.347,77.032,221360,1
0.808,0.845,11,-7.809,0,0.0663,0.0043,0.926,0.0687,0.196,123.998,449873,5
0.654,0.874,6,-3.885,1,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027,0
0.41,0.816,3,-3.83,1,0.0333,0.0292,2.01e-05,0.129,0.288,136.014,232267,2
0.758,0.595,2,-12.373,1,0.422,0.0794,0.00815,0.0873,0.239,127.687,244000,3
0.705,0.923,11,-5.195,1,0.0474,0.035,0.875,0.324,0.214,127.01,369454,5
0.79,0.514,8,-8.881,1,0.112,0.408,0.0,0.0993,0.757,128.114,198750,4
0.591,0.705,9,-6.519,0,0.079,0.381,0.000116,0.131,0.27,121.799,215316,0
0.328,0.842,6,-6.644,1,0.0882,0.000111,0.803,0.0496,0.422,113.329,246000,2
0.677,0.881,1,-3.534,0,0.054,0.00445,0.0146,0.359,0.566,128.121,190267,5
0.322,0.863,9,-2.863,1,0.0387,0.306,5.73e-05,0.324,0.54,143.441,227067,2
0.809,0.528,8,-6.886,0,0.12,0.353,5.86e-06,0.0897,0.491,103.923,195285,3
0.518,0.807,1,-6.68,1,0.057,0.00768,0.0,0.271,0.781,199.979,275160,4
0.267,0.321,6,-12.369,1,0.0269,0.883,0.94,0.0871,0.0394,77.204,183146,1
0.66,0.793,9,-8.005,0,0.329,0.472,0.0,0.611,0.749,179.512,249680,3
